transcript_ref,transcript_base,transcript_version
NM_000818.3,NM_000818,3
NM_000819.5,NM_000819,5
NM_000820.4,NM_000820,4
NM_000821.7,NM_000821,7
NM_000823.4,NM_000823,4
NM_000824.5,NM_000824,5
NM_000825.3,NM_000825,3
NM_000826.6,NM_000826,6
NM_000827.4,NM_000827,4
NM_000828.5,NM_000828,5
NM_000829.4,NM_000829,4
NM_000830.6,NM_000830,6
NM_000831.4,NM_000831,4
NM_000832.7,NM_000832,7
NM_000833.5,NM_000833,5
NM_000834.5,NM_000834,5
NM_000835.6,NM_000835,6
NM_000836.4,NM_000836,4
NM_000837.2,NM_000837,2
NM_000838.3,NM_000838,3
NM_000839.5,NM_000839,5
NM_000840.3,NM_000840,3
NM_000841.4,NM_000841,4
NM_000842.5,NM_000842,5
NM_000843.4,NM_000843,4
NM_000844.4,NM_000844,4
NM_000845.3,NM_000845,3
NM_000846.5,NM_000846,5
NM_000847.5,NM_000847,5
NM_000848.4,NM_000848,4
NM_000849.5,NM_000849,5
NM_000850.5,NM_000850,5
NM_000851.4,NM_000851,4
NM_000852.4,NM_000852,4
NM_000853.4,NM_000853,4
NM_000854.5,NM_000854,5
NM_000855.3,NM_000855,3
NM_000856.6,NM_000856,6
NM_000857.5,NM_000857,5
NM_000858.7,NM_000858,7
NM_000859.3,NM_000859,3
NM_000860.6,NM_000860,6
NM_000861.3,NM_000861,3
NM_000862.3,NM_000862,3
NM_000863.3,NM_000863,3
NM_000864.5,NM_000864,5
NM_000865.3,NM_000865,3
NM_000866.5,NM_000866,5
NM_000867.5,NM_000867,5
NM_000868.4,NM_000868,4
NM_000869.6,NM_000869,6
NM_000870.7,NM_000870,7
NM_000871.3,NM_000871,3
NM_000872.5,NM_000872,5
NM_000873.4,NM_000873,4
NM_000874.5,NM_000874,5
NM_000875.5,NM_000875,5
NM_000876.4,NM_000876,4
NM_000877.4,NM_000877,4
NM_000878.5,NM_000878,5
NM_000879.3,NM_000879,3
NM_000880.4,NM_000880,4
NM_000882.4,NM_000882,4
NM_000883.4,NM_000883,4
